Title;Muscle cible;Position de depart;Mouvement;Thème;serie;Contre-indication
Relevé de bassin + 2 pieds sur banc;Fessier, ischio, mollet.;"Couché sur le sol, le fessier près du banc.

Les 2 pieds écartés, largeur du bassin ou pieds joins.";"Soulever les hanches du sol en appuyant sur les talons.

Faire une ligne droite, genoux, hanches, épaules.

Revenir lentement en position de départ sans poser le fessier au sol.

Tenir les abdominaux.

Expirer lors de la monter.";Ischio;3x15 répétitions;dos
7.7 - Crunch sur ballon avec pieds au sol;Droit de l’abdomen et transverse.;"Fessier et haut du dos sur le ballon.

Main derrière la tête.

Genoux fléchis et pieds au sol.";"Relever le buste, en gardant l’espace d’un point entre le menton et le corps.

Redescendre en posant le haut du dos sur le ballon.

Expirez en faisant le mouvement.";;3x 15 répétitions;Aucune
;;;;;;
Crunch au sol avec ballon cheville;Droit de l’abdomen.;"Couché sur le dos.

Courbe lombaire neutre.

Tête au sol avec les mains derrière.

Genoux fléchis.

Ballon aux chevilles.";"Relever le buste, en gardant l’espace d’un point entre le menton et le corps.

Expirez en faisant le mouvement Revenir sans poser la tête au sol.";Crunch;3x 15 à 20 répétitions;aucune
Gainage oblique avant-bras sur le banc et relevée de jambes;Obliques et épaules.;"Coude et épaule alignés en appuie sur les pieds.

Tête dans le prolongement de la colonne.

Courbe lombaire neutre.";"Maintenir la position en contractant un peu les abdominaux et relever la jambe.

Inspirer avec le nez et expirer avec la bouche.";Gainage, Oblique;2x 12 répétitions;problème cardio vasculaire, dos
Reverse crunch jambes tendues;Droit de l’abdomen partie inférieur;"Coude et épaule alignés en appuie sur les pieds.

Tête dans le prolongement de la colonne.

Courbe lombaire neutre.";"Maintenir la position en contractant un peu les abdominaux.

Inspirer avec le nez et expirer avec la bouche.";Crunch;3x 12 à 15 répétitions;douleur lombaire
Adduction des omoplates couché ballon + pouce levé;Haut du dos, épaules.;"La poitrine et le bassin en appui sur le ballon. Les pointes de pieds ancrées dans le sol.

La Tête dans le prolongement de la colonne vertébrale.

Bras tendus sur le côté avec les deux pouces dirigés vers le plafond.

Courbe lombaire neutre.";"Monter les deux bras et serres les omoplates.

Revenir lentement en position de départ.

Tenir les abdominaux.";Adduction;2X10 à 12 répétitions;épaule
Crunch au sol avec genoux 90°;Droit de l’abdomen;"Coude et épaule alignés en appuie sur les avant-bras et les genoux.

Tête dans le prolongement de la colonne.

Courbe lombaire neutre.";"Maintenir la position en contractant un peu les abdominaux.

Inspirer avec le nez et expirer avec la bouche.";Crunch;3x 15 à 20 répétitions;aucune
Arrière cuisse à plat ventre;Ischio;"Couché sur le banc, les épaules alignées en appui sur les coussinets.

Les genoux en dehors du siège et le bas des mollets positionnés sous le rouleau.

La tête dans le prolongement de la colonne.";"Fléchir les genoux et amener le rouleau vers l’arrière cuisse.

Revenir genou souple en position de départ.";Ischio;3x 12 répétitions;aucune
Fessier jambe extension de hanche à plat ventre;Fessier, ischio.;"Couché sur le banc, les épaules alignées en appui sur les coussinets.

Un genou fléchit sur le siège et le pied de l’autre jambe sur le rouleau.

La tête dans le prolongement de la colonne.";"Tendre la jambe arrière sans bloquer le genou.

Revenir genou fléchi en position de départ.";Fessier, Jambe;3x 12 répétitions;aucune
3.3 - Crunch au sol avec genoux 90°;Droit de l’abdomen;"Couché sur le dos.

Courbe lombaire neutre.

Main derrière la tête.

Genoux à 90°";"Relever le buste, en gardant l’espace d’un point entre le menton et le corps.

Expirez en faisant le mouvement.

Revenir sans poser la tête au sol.";;3x 15 à 20 répétitions;Aucune
Spoas illiaque debout;Spoas iliaque;"Debout en appui sur une jambe avec le genou souple.

La jambe arrière est tendu avec le genou légèrement fléchit.";"Amener les deux mains enlacées derrière le dos.

Basculer le bassin en poussant les hanches vers le haut.

Gonfler le ventre à chaque inspiration et vider l’air des poumons à chaque expiration.

Faire la même chose avec l’autre côté.";Spoas illiaque;Maintenir 1 minute et plus.;aucune
4.6 - Extension de hanche à quatre pattes et élastique;fessier, ischio, épaules, abdominaux.;"A quatre pattes, en appui sur les avant-bras.

Coudes et épaules alignées.

Genoux et hanche forme un angle de 90°.

Une jambe avec le genou fléchis.

Elastique au centre du corps.

Courbe lombaire neutre.";"Monter la jambe un peu plus haut que le fessier.

Revenir toucher la pointe des pieds au sol et repartir.

Expirer lors de la montée.";Jambe;3X 12 à 15 Répétitions;Aucune
;;;;;;
Bucheron 1 genoux sur banc + poulie basse;Grand dorsal, biceps.;"Un genou et une main en appui sur le banc. L’autre jambe est tendue au sol avec le genou fléchit.

Bras tendu et dirigé vers le sol.

Courbe du dos neutre.

Tête dans le prolongement de la colonne vertébrale.";"Tirer le coude vers l’arrière et amener la main vers la poitrine.

Revenir lentement sans bloquer les coudes.

Tenir les abdominaux.";Bucheron;3X15 répétitions;aucune
;;;;;;
Tirage bras tendus à genoux ballon;Grand dorsal, biceps.;"A genoux sur le ballon.

Bras tenus vers l’avant, main à hauteur des épaules.

Courbe lombaire neutre.";"Tirer la barre vers les cuisses.

Revenir lentement, mains à hauteur des épaules.

Tenir les abdominaux.";Tirage;3X15 répétitions;aucune
Epaule debout + un bras tendu sur le torse;Epaule;Debout les pieds largeur des épaules ou un peu plus.;"Amener le bras tendu contre la poitrine.

Le maintenir avec l’autre main.

Gonfler le ventre à chaque inspiration et vider l’air des poumons à chaque expiration.";Epaule;Maintenir 1 minute et plus.;aucune
;;;;Crunch, oblique, gainage;;
Elévation frontale en position de fente + haltère;épaules, abdominaux.;"En appui sur la jambe avant, le genou légèrement fléchit. L’autre jambe est en arrière.

Les bras tendus, le long du corps.

Les poignets dirigés vers les cuisses.";"Monter les haltères et amener les mains à hauteur des épaules.

Revenir lentement en maintenant les bras tendus en position de départ.

Tenir les abdominaux.";Élévation frontale et latérale;3x12 répétitions;problème d’épaule
2.5 - Crunch sol avec ramener de genoux;Droit de l’abdomen;"Couché sur le dos.

Courbe lombaire neutre.

Main derrière la tête.

Genoux à 90°";"Relever le buste, en gardant l’espace d’un point entre le menton et le corps et ramener les genoux vers la poitrine.

Expirez en faisant le mouvement.

Revenir sans poser la tête au sol.";;3x 15 répétitions;Aucune
Crunch sur bosu avec pieds sur ballon;Droit de l’abdomen et transverse.;"Fessier et milieu du dos sur le bosu.

Main derrière la tête.

Genoux fléchis pieds sur le ballon.";"Relever le buste, en gardant l’espace d’un point entre le menton et le corps.

Redescendre en posant les omoplates sur le bosu.

Expirez en faisant le mouvement.";Crunch;3x 15 à 20 répétitions;aucune
Tirage poitrine à genoux sol + élastique;Grand dorsal, biceps.;"A genoux au sol.

Bras tenus vers l’avant.";"Tirer les coudes vers l’arrière et resserrer les omoplates.

Les mains viennent vers les épaules.

Revenir lentement sans bloquer les coudes.

Tenir les abdominaux.";Tirage poitrine;3X12 répétitions;douleur d’épaule + épicondylite
Rowing;Grand dorsal, biceps;"Assis avec l’abdomen et le milieu de la poitrine contre le siège avant.

Courbe lombaire neutre.

Les bras tendus avec les coudes souples.";"Tirer les deux coudes vers l’arrière en serrant tout à la fois les omoplates.

Revenir bras tendu sans bloquer les coudes.

Tenir les abdominaux.";Epaule;3x 12 répétitions;épicondylite
Antépulsion debout avec 2 haltères;Pectoraux, épaule.;"Debout, genoux légèrement fléchis, les pieds largeur du bassin.

Les bras tendus le long du corps avec les haltères.

Courbe lombaire neutre.";"Monet les haltères à hauteur du visage.

Revenir bras tendus sans bloquer les coudes en position de départ.

Tenir les abdominaux.";Antépulsion;3x12 répétitions;antépulsion
Tirage poitrine debout position de squat + 1 bras;Grand dorsal, biceps.;"Debout, pieds largeur des épaules et les genoux légèrement fléchis.

Main à l’extrémité de la poulie ou à l’élastique.";"Tirer le coude vers l’arrière et resserrer les omoplates.

La main longe la poitrine.

Revenir lentement sans bloquer les coudes.

Tenir les abdominaux.";Tirage;3X15 répétitions;aucune
Squat sauté avec demi-tour;Fessier, cuisse, ischio, mollet.;Debout, les pieds largeur des épaules ou u peu plus.;"S’assoir en poussant le fessier en arrière et amener l’arrière cuisse parallèlement au sol et les genoux dans l’axe des orteils. Le dos s’incline à 45 ° vers l’avant.

Puis se propulser avec force pour décoller du sol jambe tendu et en même temps effectuer un demi-tour.

Se réceptionner en position assis et répéter le mouvement dans l’autre sens.";;3x30 secondes;problème genoux et cardio-vasculaire
;;;;;;
Oblique debout avec élastique ou poulie milieu;Obliques et épaules.;"Debout pieds à la largeur des épaules.

Genoux souples et dos neutre.

Sangle à la main et les bras tendus.";"Faite une rotation sur le côté en contractant un peu les abdominaux.

Revenir lentement en inspirant.";Oblique;3x 15 à 20 répétitions;aucune
Crunch sur ballon et bras tendus avec haltère;Droit de l’abdomen, transverse et épaule.;"Fessier et haut du dos sur le ballon.

Bras tendus au-dessous la tête.

Genoux fléchis et pieds au sol.";"Relever le buste, en gardant l’espace d’un point entre le menton et le corps.

Maintenir les bras tendus.

Redescendre en posant le haut du dos sur le ballon.

Expirez en faisant le mouvement.";Crunch;3x 15 à 20 répétitions;aucune
Rowing planche + haltère;Grand dorsal, biceps.;"En appui sur les pieds et sur les haltères.

Courbe du dos neutre.

Tête dans le prolongement de la colonne vertébrale.";"Tirer le coude vers le haut en maintenant les deux hanches parallèlement au sol.

L’haltère vient vers l’épaule.

Revenir lentement sans bloquer les coudes.

Tenir les abdominaux.";Rowing;3X12 répétitions;problème cardio-vasculaire-lombaire- épaule- épicondylite
;;;;;;
Gainage planche au sol + relevé de jambe.;Transverse, épaule, bas du dos, cuisse.;"Coude et épaule alignés en appuie sur les avant-bras et les pieds.

Tête dans le prolongement de la colonne.

Courbe lombaire neutre.";"Maintenir la position en contractant un peu les abdominaux.

Relevé la jambe lentement l’une après l’autre. (Bien tendre la jambe)

Maintenir le bassin statique et à la même hauteur durant l’exercice.

Inspirer avec le nez et expirer avec la bouche.";Gainage;2x 30 à 60 secondes.;problème cardio vasculaire
Triceps couché sur le ballon + 1 haltère;Triceps, épaules.;"La tête et les omoplates en appui sur le ballon et les pieds ancrés au sol.

Les bras tendus avec l’haltère à hauteur du haut de la poitrine.

Courbe lombaire neutre.";"Descendre l’haltère derrière la tête en fléchissant les coudes.

Remonter l’haltère bras tendus sans bloquer, ni bouger les coudes.

Tenir les abdominaux.";Triceps;3X15 répétitions;épicondylite
Triceps en appui sur ballon + haltère;Triceps, épaules, abdominaux.;"Un genou et une main en appui sur le ballon. L’autre jambe est tendue au sol avec le genou

fléchit.

Le coude fléchit à 90° près du corps.

Courbe du dos neutre et incliné vers l’avant.

Tête dans le prolongement de la colonne vertébrale.";"Tendre le bras sans bouger le coude.

Revenir lentement en fléchissant le coude à 90°

Tenir les abdominaux.";Triceps;3X12 répétitions;épicondylite (coude)- douleur lombaire
Squat abduction de hanche ;Fessier, cuisse, ischio, mollet.;"Debout, pieds parallèles largeur des épaules.

L’élastique band au-dessus des genoux.";"Descendre en poussant le fessier légèrement vers l’arrière et fléchir les genoux.

Amener les arrières cuisses parallèlement au sol.

Maintenir la position assise, ouvrir le pied droit et ramener le pieds gauche, puis ouvrir le pied gauche et Ramener le pied droit.

Tenir les abdominaux.";Squat;3x 15 répétitions;aucune
;;;;;;
;;;;;;
10.8 - Triceps debout + poulie et corde;Triceps, épaules.;"Debout en appui sur une jambe, les genoux légèrement fléchis.

Les bras fléchis à 90 °

Allonger la colonne vertébrale.";"Tendre les bras sans écarter les coudes de la taille puis revenir en fléchissant les coudes à 90°.

Tenir les abdominaux.";;3x 12 répétitions;Aucune
Gainage planche avec tape sur le côté ;Fessier, cuisse, ischio, mollet.;"Coude et épaule alignés en appuie sur les avant-bras et les pieds.

Tête dans le prolongement de la colonne.

Courbe lombaire neutre.";"Descendre en poussant le fessier légèrement vers l’arrière et fléchir les genoux.

Amener les arrières cuisses parallèlement au sol.

Remonter et tendre la jambe sur le côté.

Repartir et faire la même chose avec l’autre jambe

Tenir les abdominaux.";Gainage;3x 30 à 60 secondes;problème cardio vasculaire
